,Composition,VEC,Electronegativity_Difference,Atomic_Radius_Diff,Mixing_Enthalpy,Mixing_Entropy,E/A,EWF,Mod_Mismatch,DeltaG,ShearModG,Tm,Ec,Cond__AC,Cond__AM,Cond__HM,Cond__PM,Cond__WR,Li,Mg,Al,Si,Sc,Ti,V,Cr,Mn,Fe,Ni,Co,Cu,Zn,Zr,Nb,Mo,Sn,Hf,Ta,W,HV
0,Al0.017 Cu0.328 Mn0.328 Ni0.328 ,9.225774225774225,0.16753321216483094,3.6170798588191335,-0.934897270561606,9.694725242615078,1.1029470529470529,9817.125366226112,-0.02355948422851813,0.04795148301348474,66.63136863136862,1523.338711288711,3.6128171828171824,1,0,0,0,0,0.0,0.0,0.016983016983016984,0.0,0.0,0.0,0.0,0.0,0.3276723276723276,0.0,0.3276723276723276,0.0,0.3276723276723276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0
1,Al0.020 Co0.196 Cr0.196 Fe0.196 Mn0.196 Ni0.196 ,7.899999999999999,0.13870149818945718,3.702725802317848,-5.265344000000002,13.929120806413655,1.08136,10013.078072460938,-0.022279176743867937,0.04135268953858162,84.01599999999998,1772.669,4.01328,1,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.196,0.196,0.196,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
3,Al0.024 Co0.244 Cr0.244 Fe0.244 Ni0.244 ,8.123999999999999,0.10078987250711254,2.2854518301596727,-5.0244480000000005,12.1910451264634,1.0872799999999998,11858.093679719945,-0.02624777585963892,0.04773062650447614,85.53599999999999,1835.806,4.2806,1,0,0,0,0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.244,0.0,0.244,0.244,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
6,Al0.036 Cu0.321 Mn0.321 Ni0.321 ,9.105105105105103,0.16762042392389512,3.865106582041784,-1.9452966479993508,10.095068165186037,1.13990990990991,9731.74187908371,-0.028830373547748343,0.05539122834114122,65.84384384384386,1511.9015015015016,3.6084984984984994,1,0,0,0,0,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.0,0.3213213213213213,0.0,0.3213213213213213,0.0,0.3213213213213213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0
7,Al0.038 Co0.192 Cr0.192 Fe0.192 Mn0.192 Ni0.192 ,7.809619238476952,0.13894750523563915,4.037137358172801,-6.2226256119453325,14.217213149280873,1.116933867735471,9926.839537947146,-0.02840730978197718,0.05050129642658615,82.94589178356712,1757.185871743487,4.001783567134268,1,0,0,0,0,0.0,0.0,0.03807615230460922,0.0,0.0,0.0,0.0,0.19238476953907813,0.19238476953907813,0.19238476953907813,0.19238476953907813,0.19238476953907813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0
8,Al0.038 Cr0.192 Cu0.192 Fe0.192 Ni0.385 ,8.772772772772772,0.10388977320635924,2.9235143573729583,0.1313185056928795,11.995660913648956,1.1323523523523522,11793.295412406782,-0.046507598817517606,0.09074628535872444,77.36536536536536,1718.447147147147,4.121381381381381,1,0,0,0,0,0.0,0.0,0.038038038038038034,0.0,0.0,0.0,0.0,0.19219219219219216,0.0,0.19219219219219216,0.38538538538538536,0.0,0.19219219219219216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0
9,Al0.050 Co0.317 Cr0.317 Fe0.317 ,7.433566433566433,0.09980641061315368,3.225508831763113,-4.937855351441766,10.32743238731007,1.1003996003996006,10074.738246085944,-0.037468914936713886,0.06376233057756363,87.43656343656346,1853.6108891108893,4.213376623376623,1,0,0,0,0,0.0,0.0,0.049950049950049966,0.0,0.0,0.0,0.0,0.31668331668331673,0.0,0.31668331668331673,0.0,0.31668331668331673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0
10,Al0.053 Co0.211 Cr0.211 Fe0.263 Ni0.263 ,8.049950049950052,0.10300175177588644,3.321519472375236,-6.387829952265519,12.59047873381648,1.1510589410589414,11698.169776249882,-0.034464617627522016,0.060256366466190175,82.93906093906094,1799.5826673326678,4.260159840159841,1,0,0,0,0,0.0,0.0,0.05294705294705295,0.0,0.0,0.0,0.0,0.2107892107892108,0.0,0.2627372627372628,0.2627372627372628,0.2107892107892108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0
11,Al0.057 Co0.189 Cr0.189 Cu0.189 Fe0.189 Ni0.189 ,8.470059880239521,0.1037327159226242,3.429843101565997,0.14231417404711544,14.435532062237414,1.1445209580838325,11237.013133647712,-0.05219638500703164,0.10063721080505067,76.17365269461078,1711.0076347305387,4.097335329341317,1,0,0,0,0,0.0,0.0,0.05688622754491018,0.0,0.0,0.0,0.0,0.18862275449101795,0.0,0.18862275449101795,0.18862275449101795,0.18862275449101795,0.18862275449101795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
13,Al0.057 Cr0.189 Cu0.189 Fe0.189 Ni0.377 ,8.657342657342657,0.10745518424042226,3.458269478957281,-0.8332327013645701,12.265556110144987,1.1690509490509493,11640.451496206397,-0.05206570699598287,0.100189991949747,76.36263736263737,1703.0625874125876,4.1064335664335685,1,0,0,0,0,0.0,0.0,0.05694305694305695,0.0,0.0,0.0,0.0,0.18881118881118888,0.0,0.18881118881118888,0.3766233766233767,0.0,0.18881118881118888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0
14,Al0.057 Hf0.189 Nb0.189 Ta0.189 Ti0.189 Zr0.189 ,4.320359281437127,0.1203915856192317,4.9767970141018365,-4.018681200473306,14.435532062237414,1.5444011976047902,5276.776783030466,-0.0503786680012468,0.11322859385408104,41.844311377245496,2423.699850299401,6.457005988023951,1,0,0,0,0,0.0,0.0,0.05688622754491018,0.0,0.0,0.18862275449101795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18862275449101795,0.18862275449101795,0.0,0.0,0.18862275449101795,0.18862275449101795,0.0,353.0
